PL NO.,COMPANY,COMMODITY,STATUS,EXPIRY DATE,AREA,MINERAL RIGHT,AREA ORIG
PL629/2009,Triprop Holdings (Pty) Ltd,"Base, Precious & PGMs",Original,20120630,,Metals,
PL630/2009,Triprop Holdings (Pty) Ltd,"Base, Precious 8t PGMs",Original,20120630,,Metals,
Folio la,,"Base, Precious & PGMs",New Application,20120530,,Metals,
Folio lb,,"Base, Precious 8t PGMs",New Application,20120530,,Metals,
Folio 2a,,"Base, Precious & PGMs",New Application,20120530,,Metals,
Folio 27a,,Metals,New Application,20120430,,Metals,
Folio 37c,,"Base, Precious Metals",New Application,20120430,,Metals,
PL126/2009,Namtroc (Pty) Ltd,Radioactive,Original,20120331,46.02,Radioactive Minerals,46.02
PL558/2009,Silverspring Investments (Pty) Ltd,"Base,Precious,PGMs",Original,20120331,80.30,Metals,80.30
PL559/2009,Silverspring Investments (Pty) Ltd,"Base,Precious,PGMs",Original,20120331,94.00,Metals,94.00
PL527/2009,The Jacksons Clayworks (Pty) Ltd,Metals,Original,20120331,161.00,Metals,161.00
PL447/2009,Silverspring Investments (Pty) Ltd,"Base,Precious,PGMs",Original,20120331,168.00,Metals,168.00
PL032/2007,Goldington Investments (Pty) Ltd,Coal & Coalbed Methane,Second Renewal,20120331,229.66,Energy,229.66
PL054/2005,African Energy Botswana (Pty) Ltd,Coal,Second Renewal,20120331,269.40,Energy,269.40
PL070/2007,Mawana Minerals (Pty) Ltd,Coal,First Renewal,20120331,302.97,Energy,302.97
PL557/2009,Silverspring Investments (Pty) Ltd,"Base,Precious,PGMs",Original,20120331,386.00,Metals,386.00
PL161/2009,Triprop Energy (Pty) Ltd,Coal & Coalbed Methane,Original,20120331,520.00,Energy,520.00
PL156/2009,Triprop Holdings (Pty) Ltd,Radioactive Minerals,Original,20120331,523.00,Radioactive Minerals,523.00
PL154/2009,Triprop Holdings (Pty) Ltd,"Base, Precious & PGMs",Original,20120331,593.00,Metals,593.00
PL153/2009,Triprop Holdings (Pty) Ltd,"Base, Precious 8t PGMs",Original,20120331,647.00,Metals,647.00
PL041/2009,Mawana Minerals (Pty) Ltd,PGMs Base Metals,Original,20120331,666.00,Metals,666.00
PL159/2009,Triprop Energy (Pty) Ltd,Coal & Coalbed Methane,Original,20120331,775.00,Energy,775.00
PL155/2009,Triprop Holdings (Pty) Ltd,Radioactive Minerals,Original,20120331,792.00,Radioactive Minerals,792.00
PL446/2009,Silverspring Investments (Pty) Ltd,"Base,Precious,PGMs",Original,20120331,794.00,Metals,794.00
PL042/2009,Mawana Minerals (Pty) Ltd,PGMs Base Metals,Original,20120331,826.00,Metals,826.00
PL040/2009,Mawana Minerals (Pty) Ltd,PGMs Base Metals,Original,20120331,875.30,Metals,875.30
PL425/2009,Daheng Group Botswana (Pty) Ltd,Coal & Coalbed Methane,Original,20120331,913.00,Energy,913.00
PL152/2009,Triprop Holdings (Pty) Ltd,"Base, Precious & PGMs",Original,20120331,"1,000.00",Metals,"1,000.00"
PL243/2012,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120330,4.22,,4.22
PL061/2007,Seolo Botswana (Pty) Ltd,Precious Stones,First Renewal,20120330,28.00,,28.00
Folio lb,,Precious Stones,Original,20120330,45.34,,45.34
PL096/2005,African Energy Resources (Pty) Ltd,"Precious, Base Metals, PGE, Coal, Uranium and CBM",Second Renewal,20120330,286.90,"Metals,Radio,Energy",286.90
PL247/2012,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120330,965.09,,965.09
PL246/2012,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120330,996.28,,996.28
Reserved,Cardia Mining Botswana (Pty) Ltd,"Base, Precious & PGMs",New Application,20120330,,Metals,
Folio 1,,"Base, Precious & PGMs",New Application,20120330,,Metals,
Folio 118a,,"Base, Precious & PGMs",New Application,20120330,,Metals,
Folio 11c,,Metals,New Application,20120330,,Metals,
Folio 18a,,"Base, Precious 8t PGMs",New Application,20120330,,Metals,
Folio la,,"Base, Precious Metals",New Application,20120330,,Metals,
Folio lb,,"Base, Precious 8t PGMs",New application,20120330,,Metals,
Folio 21a,,Base 8t Precious Metals,New Application,20120330,,Metals,
Folio 23a,,PGMs Base Metals,New Application,20120330,,Metals,
Folio 23b,,PGMs Base Metals,New Application,20120330,,Metals,
Folio 23c,,Metals,New Application,20120330,,Metals,
Folio 23c,,PGMs Base Metals,New Application,20120330,,Metals,
Folio 23d,,PGMs Base Metals,New Application,20120330,,Metals,
Folio 23e,,PGMs Base Metals,New Application,20120330,,Metals,
Folio 23f,,Metals,New Application,20120330,,Metals,
Folio 23f,,PGMs Base Metals,New Application,20120330,,Metals,
Folio 23g,,PGMs Base Metals,New Application,20120330,,Metals,
Folio 23h,,PGMs Base Metals,New Application,20120330,,Metals,
Folio 23i,,PGMs Base Metals,New Application,20120330,,Metals,
Folio 23j,,PGMs Base Metals,New Application,20120330,,Metals,
Folio 23k,,PGMs Base Metals,New Application,20120330,,Metals,
Folio 231,,PGMs Base Metals,New Application,20120330,,Metals,
Folio 27a,,Metals,New Application,20120330,,Metals,
Folio 27a,,Metals,New Application,20120330,,Metals,
Folio 27a,,"Base, Precious 8t PGMs",New Application,20120330,,Metals,
Folio 27b,,"Base, Precious 8t PGMs",New Application,20120330,,Metals,
Folio 28a,,"Base, Precious 8t PGMs",New Application,20120330,,Metals,
Folio 28b,,"Base, Precious 8t PGMs",New Application,20120330,,Metals,
Folio 2ob,,"Base, Precious Metals",New Application,20120330,,Metals,
Folio 2oc,,"Base, Precious Metals",New Application,20120330,,Metals,
Folio 2od,,"Base, Precious Metals",New Application,20120330,,Metals,
Folio 3a,,Base 8t Precious metals,New Application,20120330,,Metals,
Folio 12a,,Radioactive Minerals,New Application,20120330,,Radioactive Minerals,
Folio 12b,,Radioactive Minerals,New Application,20120330,,Radioactive Minerals,
Folio 12c,,Radioactive Minerals,New Application,20120330,,Radioactive Minerals,
Folio lb,,Radioactive Minerals,New Application,20120330,,Radioactive Minerals,
Folio lb,,Radioactive,New Application,20120330,,Radioactive Minerals,
Folio 25f,,Radioactive Minerals,New application,20120330,,Radioactive Minerals,
Folio 2a,,Radioactive Minerals,New Application,20120330,,Radioactive Minerals,
Folio 2d,,Radioactive Minerals,New Application,20120330,,Radioactive Minerals,
Folio 2f,,Radioactive Minerals,New Application,20120330,,Radioactive Minerals,
Folio 2g,,Radioactive Minerals,New Application,20120330,,Radioactive Minerals,
Folio 2h,,Radioactive Minerals,New Application,20120330,,Radioactive Minerals,
Folio 5a,,Precious Stones,New Application,20120330,,,
Folio 5b,,Precious Stones,New Application,20120330,,,
Folio 5c,,Precious Stones,New Application,20120330,,,
Folio 5d,,Precious Stones,New Application,20120330,,,
Folio 5f,,Precious Stones,New Application,20120330,,,
Folio 5h,,Precious Stones,New Application,20120330,,,
Folio 5i,,Precious Stones,New Application,20120330,,,
Folio 5j,,Precious Stones,New Application,20120330,,,
Folio 5k,,Precious Stones,New Application,20120330,,,
Folio 9d,,Precious Stones,Original,20120330,,,
PL107/2009,Round Square (Pty) Ltd,Precious Stones,Original,20111231,128.00,,128.00
PL047/2009,Namemco Energy (Pty) Ltd,Radioactive Minerals,Original,20111231,359.00,Radioactive Minerals,359.00
PL044/2009,Namemco Energy (Pty) Ltd,Radioactive Minerals,Original,20111231,369.00,Radioactive Minerals,369.00
PL045/2009,Namemco Energy (Pty) Ltd,Radioactive Minerals,Original,20111231,384.00,Radioactive Minerals,384.00
PL158/2009,African Metals (Pty) Ltd,"Base, Precious & PGMs",Original,20111231,397.50,Metals,397.50
PL046/2009,Namemco Energy (Pty) Ltd,Radioactive Minerals,Original,20111231,400.00,Radioactive Minerals,400.00
PL048/2009,Namemco Energy (Pty) Ltd,Radioactive Minerals,Original,20111231,561.00,Radioactive Minerals,561.00
PL052/2009,Namemco Energy (Pty) Ltd,Radioactive Minerals,Original,20111231,571.00,Radioactive Minerals,571.00
PL031/2005,Morupule Colliery (Pty) Ltd,Coal,Applied for Second Renewal,20111231,638.00,Energy,638.00
PL149/2009,Kago-Phepa (Pty) Ltd,Metals,Original,20111231,694.40,Metals,694.40
PL049/2009,Namemco Energy (Pty) Ltd,Radioactive Minerals,Original,20111231,709.00,Radioactive Minerals,709.00
PL051/2009,Namemco Energy (Pty) Ltd,Radioactive Minerals,Original,20111231,716.00,Radioactive Minerals,716.00
PL050/2009,Namemco Energy (Pty) Ltd,Radioactive Minerals,Original,20111231,740.00,Radioactive Minerals,740.00
PL150/2009,Kago-Phepa (Pty)Ltd,Metals,Original,20111231,770.90,Metals,770.90
PL148/2009,Kago-Phepa (Pty)Ltd,Metals,Original,20111231,929.00,Metals,929.00
PL276/2008,Agasof(Pty) Ltd,Precious Stones,Original,20110930,29.32,,29.32
PL402/2008,WCL Investments (Pty) Ltd,Precious Stones,Original,20110930,142.20,,142.20
PL359/2008,Round Square (Pty) Ltd,Manganese,Original,20110930,143.20,Metals,143.20
PL400/2008,Silverspring (Pty) Ltd,Precious Stones,Original,20110930,330.00,,330.00
PL401/2008,Silverspring Investments (Pty) Ltd,"Base,Precious,PGMs",Original,20110930,341.00,Metals,341.00
PL230/2008,Glory Land Investments (Pty) Ltd,"Base, Precious & PGMs",Original,20110930,348.22,Metals,348.22
PL360/2008,African Metals (Pty) Ltd,"Base, Precious, PGMs & Uranium",Original,20110930,456.30,Metals & Radioactive,456.30
PL360/2008,African Metals (Pty) Ltd,"Base, Precious, PGMs & Uranium",Original,20110930,456.30,Metals & Radioactive,456.30
PL308/2008,Daheng Group Botswana (Pty) Ltd,Radioactive Minerals,Original,20110930,491.00,Radioactive Minerals,491.00
PL277/2008,Agasof (Pty) Ltd,Precious Stones,Original,20110930,510.00,,510.00
PL309/2008,Daheng Group Botswana (Pty) Ltd,Radioactive Minerals,Original,20110930,615.00,Radioactive Minerals,615.00
PL235/2008,Dynasty Metals Australia Ltd,Uranium,Original,20110930,636.76,Radioactive Minerals,636.76
PL265/2008,Oryx Resources (Pty) Ltd,Radioactive Minerals,Original,20110930,785.12,Radioactive Minerals,785.12
PL278/2008,Agasof (Pty) Ltd,Precious Stones,Original,20110930,858.00,,858.00
PL358/2008,Round Square (Pty) Ltd,Manganese,Original,20110930,860.00,Metals,860.00
PL231/2008,Glory Land Investments (Pty) Ltd,"Base, Precious & PGMs",Original,20110930,868.25,Metals,868.25
PL307/2008,Daheng Group Botswana (Pty) Ltd,Radioactive Minerals,Original,20110930,895.00,Radioactive Minerals,895.00
Comp Area,Competition Area,Precious Stones,New Application,20110930,979.00,,979.00
Folio lh,,Radioactive,New Application,20110930,,Radioactive Minerals,
Folio li,,Radioactive,New Application,20110930,,Radioactive Minerals,
Folio lj,,Radioactive,New Application,20110930,,Radioactive Minerals,
PL070/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",Original,20110630,22.13,Metals & Radioactive,22.13
PL069/2006a,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,86.26,Metals,86.26
PL047/2004,African Metals (Pty) Ltd,"Base, Precious & PGMs",Second Renewal,20110630,100.00,Metals,100.00
PL062/2006,Manica Minerals Limited,"PGM's precious metals, base-metals & nuclear fuels",First Renewal,20110630,155.02,Metals & Radioactive,155.02
PL061/2006,Manica Minerals Limited,"PGM’s precious-metals, base-metals & nuclear fuels",First Renewal,20110630,171.29,Metals & Radioactive,171.29
PL019/2004,Discovery North East (Pty) Ltd,"Base, Precious 8t PGMs",Second Renewal,20110630,284.00,Metals,284.00
PL060/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,515.93,Metals & Radioactive,515.93
PL065/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,526.68,Metals & Radioactive,526.68
PL046/2004,African Metals (Pty) Ltd,"Base, Precious & PGMs",Second Renewal,20110630,533.00,Metals,533.00
PL049/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,541.61,Metals & Radioactive,541.61
PL067/2006a,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,547.50,Metals & Radioactive,547.50
PL067/2006a,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,547.50,Metals & Radioactive,547.50
PL067/2006b,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,547.50,Metals & Radioactive,547.50
PL059/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",First Renewal,20110630,637.91,Metals & Radioactive,637.91
