parties_norm,parties_match,code,objectid,parties,archived,type,statusgrp,status,areaunit,layer_id,mapref,typeabb,part,layer_name,dtestart,areavalue,jurisdic,respoffice,name,region,summary,subtype,resources,stragreementconditionsjson,dtegranted,applno,typegroup,dtepegged,codeconcat,renewal,acccode,comments,interest,dteapplied,typecode,dteexpires,dterenewal,oldcode,resourcescd,operador,company,con_type,area_km,location,concession,operador_l,shape_leng,nomes,fc_id,objectid_1,source_name
"Ranger Resources, Limitada","Ranger Resources, Limitada",2624,1261019,"RANGER RESOURCES, LDA",,Licença de Prospecção e Pesquisa,Extinto,Cancelado,Hectares,6,"NIASSA, LAGO, LUHNO, MANIAMBA, METANGULA",,Parte 1,Todas Licenças Extinto,,7960,Moçambique,Maputo Cidade,2624L,,,,"BME, GEM, PME",,,,Pesquisa,,2624 L,,,,Pessoa Colectiva,2008-03-20,L,,,,"BME, GEM, PME",,,,,,,,,,,,MZ
"Refrigerantes Vumba, Limitada","Refrigerantes Vumba, Limitada",28,1258759,"Refrigerantes Vumba, Lda",,Concessão Mineira,Em Vigor,Em Vigor,Hectares,1,"MANICA, MANICA, MANICA",,Parte 1,Concessão Mineira,,80,Moçambique,Maputo Cidade,28AM,,,,AGU,,1998-09-30,,Exploração,,28 C,0,,,Pessoa Colectiva,1998-03-31,C,2023-09-30,,49/C/98,AGU,,,,,,,,,,,,MZ
"K.D Próspero, Limitada","K.D Próspero, Limitada",7352,1264835,"K.D. PROSPERO, LDA ",,Concessão Mineira,Pedido,Aprovação Pendente,Hectare,1,"MANICA, MANICA, MACHIPANDA",,Parte 1,Concessão Mineira,,627.27,Moçambique,Maputo Cidade,,,,,AU,,2015-01-20,,Exploração,,7352 C,0,,"concurso de Chua de Manica- Concessao de Ouro Vencedor K.D Prospero,Lda. da Area 5711 Reserva",Pessoa Colectiva,2015-01-08,C,2040-01-20,,,AU,,,,,,,,,,,,MZ
"Grupo Sonho Real, Limitada","Grupo Sonho Real, Limitada",6494,1263010,"Grupo Sonho Real, Limitada (0,00%)",,Certificado Mineiro,Pedido,Atribuição Pendente,Hectare,2,"MAPUTO, NAMAACHA, NAMAACHA",,Parte 1,Certificado Mineiro,,19.24,Moçambique,Maputo Cidade,,,,,STO,,2013-10-08,,Exploração,,6494 CM,0,,,Pessoa Colectiva,2013-08-06,CM,2015-10-08,,,STO,,,,,,,,,,,,MZ
"Multi - Action - Sociedade Unipessoal, Limitada","Multi - Action - Sociedade Unipessoal, Limitada",7183,1265229,"Multi Action sociedade Unipessoal, Lda , Sidonio Joao do Rosario Bras (0,00%)",,Certificado Mineiro,Em Vigor,Em Vigor,Hectare,2,"NAMPULA, NACALA-A-VELHA, NACALA-A-VELHA",,Parte 1,Certificado Mineiro,,393.29,Moçambique,Nampula,,,,,SAN,,2014-12-12,,Exploração,,7183 CM,0,,,Pessoa Colectiva,2014-12-05,CM,2016-12-12,,,SAN,,,,,,,,,,,,MZ
"Apollo Investment Group, Limitada","Apollo Investment Group, Limitada",5332,1259232,"Apollo Investment Group, Limitada ",,Licença de Prospecção e Pesquisa,Pedido,Aprovação Pendente,Hectares,3,"NAMPULA, LALAUA, LALAUA, METI",,Parte 1,Licença de Prospecção e Pesquisa,,18254.61,Moçambique,Maputo Cidade,,,,,"FE, MI",,,,Pesquisa,,5332 L,,,,Pessoa Colectiva,2012-05-08,L,,,,"FE, MI",,,,,,,,,,,,MZ
"Metalmoz, Limitada","Metalmoz, Limitada",3821,1261752,"Metalmoz, Limitada",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectares,3,"MANICA, SUSSUNDENGA, ROTANDA",,Parte 1,Licença de Prospecção e Pesquisa,,23820,Moçambique,Maputo Cidade,3821L,,,,"AU, BME, COR, DIA, MI, PGM",,2010-09-27,,Pesquisa,,3821 L,0,,,Pessoa Colectiva,2010-07-02,L,2015-09-27,,,"AU, BME, COR, DIA, MI, PGM",,,,,,,,,,,,MZ
"GFC Resources, Limitada","GFC Resources, Limitada",5001,1263250,"GFC Resouces, Limitada",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"SOFALA, CAIA, MURRAÇA; ZAMBEZIA, MOPEIA, MOPEIA; MORRUMBALA, MEGAZA",,Parte 1,Licença de Prospecção e Pesquisa,,20520,Moçambique,Maputo Cidade,5001L,,,,"CPY, MI, PYR",,2013-11-21,,Pesquisa,,5001 L,0,,,Pessoa Colectiva,2011-11-25,L,2018-11-21,,,"CPY, MI, PYR",,,,,,,,,,,,MZ
"Gonarezhou Transfrontier Park, Limitada","Gonarezhou Transfrontier Park, Limitada",5840,1263886,"Gonarezhou Transfrontierpark, Lda ",,Licença de Prospecção e Pesquisa,Pedido,Atribuição Pendente,Hectare,3,"ZAMBEZIA, GILE, GILE",,Parte 1,Licença de Prospecção e Pesquisa,,1067.48,Moçambique,Maputo Cidade,,,,,AU,,2014-06-30,,Pesquisa,,5840 L,0,,,Pessoa Colectiva,2012-10-03,L,2019-06-30,,,AU,,,,,,,,,,,,MZ
"Iris Minerals, Limitada","Iris Minerals, Limitada",7376,1264955,"IRIS MINERALS, LDA ",,Concessão Mineira,Pedido,Aprovação Pendente,Hectare,1,"NAMPULA, MOGINCUAL, NAMIGE; MOSSURIL, LUNGA",,Parte 1,Concessão Mineira,,22715,Moçambique,Maputo Cidade,,,,,HSA,,,,Exploração,,7376 C,,,,Pessoa Colectiva,2015-01-23,C,,,,HSA,,,,,,,,,,,,MZ
"Fiammetta, Limitada","Fiammetta, Limitada",6198,1258710,"Fiammetta - Sociedade Unipessoal, Limitada ",,Certificado Mineiro,Pedido,Aprovação Pendente,Hectares,2,"CABO_DELGADO, MUEDA, CHAPA",,Parte 1,Certificado Mineiro,,41.81,Moçambique,Maputo Cidade,,,,,STO,,,,Exploração,,6198 CM,,,,Pessoa Colectiva,2013-03-15,CM,,,,STO,,,,,,,,,,,,MZ
"Arenitos, Limitada","Arenitos, Limitada",6455,1263072,"Arenitos, Lda ",,Certificado Mineiro,Pedido,Atribuição Pendente,Hectare,2,"MAPUTO, NAMAACHA, NAMAACHA",,Parte 1,Certificado Mineiro,,19.23,Moçambique,Maputo Cidade,,,,,SANC,,2013-10-24,,Exploração,,6455 CM,0,,,Pessoa Colectiva,2013-07-17,CM,2015-10-24,,,SANC,,,,,,,,,,,,MZ
"SONIL - Sociedade do Niassa, Limitada","SONIL - Sociedade do Niassa, Limitada",4851,1263956,SONIL -Sociedade do Niassa,,Certificado Mineiro,Em Vigor,Em Vigor,Hectare,2,"NAMPULA, MOSSURIL, MATIBANE",,Parte 1,Certificado Mineiro,,180,Moçambique,Maputo Cidade,4851CM,,,,Pedra de Construção,,2014-02-04,,Exploração,,4851 CM,0,,,Pessoa Singular,2011-10-24,CM,2016-02-04,,,STO,,,,,,,,,,,,MZ
"Mutarara Centre, Limitada","Mutarara Centre, Limitada",7339,1264772,"MUTARARA RESOURCES, LDA ",,Certificado Mineiro,Pedido,Aprovação Pendente,Hectare,2,"ZAMBEZIA, GILE, GILE",,Parte 1,Certificado Mineiro,,411.51,Moçambique,Maputo Cidade,,,,,"AQU, QTZM, TOU",,2015-01-05,,Exploração,,7339 CM,0,,,Pessoa Colectiva,2014-11-06,CM,2025-01-05,,,"AQU, QTZM, TOU",,,,,,,,,,,,MZ
"Goldcrest Resources, S.A.","Goldcrest Resources, S.A.",6166,1263622,"GOLDCREST RESOURCES, SA ",,Licença de Prospecção e Pesquisa,Pedido,Atribuição Pendente,Hectare,3,"TETE, MARAVIA, FINGOE; ZUMBU, MUZE",,Parte 1,Licença de Prospecção e Pesquisa,,7429.01,Moçambique,Maputo Cidade,,,,,"BME, PME",,2014-04-16,,Pesquisa,,6166 L,0,,,Pessoa Colectiva,2013-03-04,L,2019-04-16,,,"BME, PME",,,,,,,,,,,,MZ
"Apollo Investment Group, Limitada","Apollo Investment Group, Limitada",4151,1263922,"Apollo Investment Group, Limitada",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"NAMPULA, ERATI, ALUA, NAMAPA",,Parte 1,Licença de Prospecção e Pesquisa,,24720,Moçambique,Maputo Cidade,4151L,,,,"FE, MI",,2014-05-23,,Pesquisa,,4151 L,0,,,Pessoa Colectiva,2010-12-17,L,2019-05-23,,,"FE, MI",,,,,,,,,,,,MZ
"Afrifocus Resources, Limitada","Afrifocus Resources, Limitada",2813,1263923,"Afrifocus Resources, Limitada",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"NAMPULA, ANGOCHE, AUBE",,Parte 1,Licença de Prospecção e Pesquisa,,13866.55,Moçambique,Maputo Cidade,2813L,,,,"MI, TI",,2008-10-31,,Pesquisa,,2813 L,1,,,Pessoa Colectiva,2008-04-30,L,2018-10-31,,,"MI, TI",,,,,,,,,,,,MZ
"Afriminas Mineiros, Limitada","Afriminas Mineiros, Limitada",1492,1260222,"Afriminas Minerais, Limitada",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectares,3,"TETE, LUENHA, LUENHA",,Parte 1,Licença de Prospecção e Pesquisa,,24680,Moçambique,Maputo Cidade,1492L,,,,"BME, MI, PME",,2007-02-15,,Pesquisa,,1492 L,2,,Revisão Licença Pendente,Pessoa Colectiva,2006-08-11,L,2017-02-15,,,"BME, MI, PME",,,,,,,,,,,,MZ
"Cola Mineração, Limitada","Cola Mineração, Limitada",3979,1261818,"Cola Mineração, Limitada",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectares,3,"ZAMBEZIA, MAGANJA_DA_COSTA, MOCUBELA; MOCUBA, MUGEBA",,Parte 1,Licença de Prospecção e Pesquisa,,14100,Moçambique,Maputo Cidade,3979L,,,,"BER, BI, MI, REE, TAN",,2011-03-13,,Pesquisa,,3979 L,0,,,Pessoa Colectiva,2010-10-11,L,2016-03-13,,,"BER, BI, MI, REE, TAN",,,,,,,,,,,,MZ
"Afrifocus Resources, Limitada","Afrifocus Resources, Limitada",4619,1262260,"Afrifocus Resources, Limitada",,Licença de Prospecção e Pesquisa,Pedido,Atribuição Pendente,Hectare,3,"ZAMBEZIA, MAGANJA_DA_COSTA, MOCUBELA; MOCUBA, MUGEBA",,Parte 1,Licença de Prospecção e Pesquisa,,13220,Moçambique,Maputo Cidade,4619L,,,,Tantalíte e Mineraís Associados,,2013-07-27,,Pesquisa,,4619 L,0,,,Pessoa Colectiva,2011-07-08,L,2018-07-27,,,TAM,,,,,,,,,,,,MZ
"Manica Mining Corporation, Limitada","Manica Mining Corporation, Limitada",5419,1262951,"Manica Mining Corporation, Lda ",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"MANICA, BARUE, NHAMPASSA",,Parte 1,Licença de Prospecção e Pesquisa,,2341.58,Moçambique,Maputo Cidade,,,,,AUM,,2012-12-11,,Pesquisa,,5419 L,0,,,Pessoa Colectiva,2012-05-17,L,2017-12-11,,,AUM,,,,,,,,,,,,MZ
"Gonarezhou Transfrontier Park, Limitada","Gonarezhou Transfrontier Park, Limitada",4549,1263644,"Gonarezhou Transfrontierpark, Lda",,Licença de Prospecção e Pesquisa,Pedido,Atribuição Pendente,Hectare,3,"NIASSA, SANGA, MATCHEDJE",,Parte 1,Licença de Prospecção e Pesquisa,,5180,Moçambique,Maputo Cidade,4549L,,,,AU,,2014-04-22,,Pesquisa,,4549 L,0,,,Pessoa Colectiva,2011-06-14,L,2019-04-22,,,AU,,,,,,,,,,,,MZ
"Enterprise Solutions, Limitada","Enterprise Solutions, Limitada",4234,1264378,"Enterprise Soulutions,Lda",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"ZAMBEZIA, ILE, MULEVALA; MAGANJA_DA_COSTA, MOCUBELA; MOCUBA, MUGEBA",,Parte 1,Licença de Prospecção e Pesquisa,,9640,Moçambique,Maputo Cidade,4234L,,,,"BER, MI, TOU",,2014-11-05,,Pesquisa,,4234 L,0,,Este pedido e de 2010 os prazos sao para serem compridos qual justificacao 10/9/2014,Pessoa Colectiva,2011-01-21,L,2019-11-05,,,"BER, MI, TOU",,,,,,,,,,,,MZ
Actinote Mining Co. Limitada,Actinote Mining Co. Limitada,2994,1261299,Actinote Mining Co.Limitada,,Licença de Prospecção e Pesquisa,Extinto,Cancelado,Hectares,6,"MANICA, TAMBARA, BAZUA",,Parte 1,Todas Licenças Extinto,,500,Moçambique,Maputo Cidade,2994L,,,,"AG, AU, CO, CU, FE, MGS, NI",,,,Pesquisa,,2994 L,,,,Pessoa Colectiva,2008-07-17,L,,,,"AG, AU, CO, CU, FE, MGS, NI",,,,,,,,,,,,MZ
Actinote Mining Co. Limitada,Actinote Mining Co. Limitada,2995,1261300,Actinote Mining Co.Limitada,,Licença de Prospecção e Pesquisa,Extinto,Cancelado,Hectares,6,"TETE, MARAVIA, FINGOE; ZUMBU, MUZE",,Parte 1,Todas Licenças Extinto,,11380,Moçambique,Maputo Cidade,2995L,,,,"AG, AU, CO, CU, FE, MA, NI",,,,Pesquisa,,2995 L,,,,Pessoa Colectiva,2008-07-17,L,,,,"AG, AU, CO, CU, FE, MA, NI",,,,,,,,,,,,MZ
Actinote Mining Co. Limitada,Actinote Mining Co. Limitada,2996,1261301,Actinote Mining Co.Limitada,,Licença de Prospecção e Pesquisa,Extinto,Cancelado,Hectares,6,"TETE, MARAVIA, CHIPUTU, FINGOE, MALOWERA",,Parte 1,Todas Licenças Extinto,,22500,Moçambique,Maputo Cidade,2996L,,,,"AU, CO, CU, FE, MA, NI, PB",,,,Pesquisa,,2996 L,,,,Pessoa Colectiva,2008-07-17,L,,,,"AU, CO, CU, FE, MA, NI, PB",,,,,,,,,,,,MZ
"Investimentos Públicos Nacional, Limitada","Investimentos Públicos Nacional, Limitada",3003,1261303,"Investimentos Públicos Nacional, Limitada",,Licença de Prospecção e Pesquisa,Extinto,Cancelado,Hectares,6,"NAMPULA, MUECATE, IMALA, MUECATE",,Parte 1,Todas Licenças Extinto,,24360,Moçambique,Maputo Cidade,3003L,,,,"BME, MI",,,,Pesquisa,,3003 L,,,,Pessoa Colectiva,2008-07-21,L,,,,"BME, MI",,,,,,,,,,,,MZ
"Investimentos Públicos Nacional, Limitada","Investimentos Públicos Nacional, Limitada",3004,1261304,"Investimentos Públicos Nacional, Limitada",,Licença de Prospecção e Pesquisa,Extinto,Cancelado,Hectares,6,"MANICA, BARUE, CATANDICA, CHOA; MANICA, MAVONDE",,Parte 1,Todas Licenças Extinto,,22160,Moçambique,Maputo Cidade,3004L,,,,"BME, MI",,,,Pesquisa,,3004 L,,,,Pessoa Colectiva,2008-07-21,L,,,,"BME, MI",,,,,,,,,,,,MZ
"D.I. Mining Exploration, Limitada","D.I. Mining Exploration, Limitada",3006,1261306,"D.I. Mining Exploration, Lad",,Licença de Prospecção e Pesquisa,Extinto,Cancelado,Hectares,6,"NAMPULA, MONAPO, NETIA; MUECATE, MUECATE",,Parte 1,Todas Licenças Extinto,,24360,Moçambique,Maputo Cidade,3006L,,,,"BME, MI",,,,Pesquisa,,3006 L,,,,Pessoa Colectiva,2008-07-21,L,,,,"BME, MI",,,,,,,,,,,,MZ
"D.I. Mining Exploration, Limitada","D.I. Mining Exploration, Limitada",3007,1261307,"D.I. Mining Exploration, Lad",,Licença de Prospecção e Pesquisa,Extinto,Cancelado,Hectares,6,"NAMPULA, MUECATE, IMALA, MUCULOENE, MUECATE",,Parte 1,Todas Licenças Extinto,,24360,Moçambique,Maputo Cidade,3007L,,,,"BME, MI",,,,Pesquisa,,3007 L,,,,Pessoa Colectiva,2008-07-21,L,,,,"BME, MI",,,,,,,,,,,,MZ
"Kush Exploration, Limitada","Kush Exploration, Limitada",3008,1261308,"Kush Exploration, Lda",,Licença de Prospecção e Pesquisa,Extinto,Cancelado,Hectares,6,"TETE, CHIFUNDE, CHIFUNDE, NSADZU; MARAVIA, CHIPUTU",,Parte 1,Todas Licenças Extinto,,21240,Moçambique,Maputo Cidade,3008L,,,,"AG, AU, CO, CU, NI, PB, PT, U, ZN",,,,Pesquisa,,3008 L,,,,Pessoa Colectiva,2008-07-22,L,,,,"AG, AU, CO, CU, NI, PB, PT, U, ZN",,,,,,,,,,,,MZ
"Kush Exploration, Limitada","Kush Exploration, Limitada",3009,1261309,"Kush Exploration, Lda",,Licença de Prospecção e Pesquisa,Extinto,Cancelado,Hectares,6,"TETE, CHIFUNDE, CHIFUNDE, MUALADZE, NSADZU",,Parte 1,Todas Licenças Extinto,,24160,Moçambique,Maputo Cidade,3009L,,,,"AG, AU, CO, CU, NI, PB, PT, U, ZN",,,,Pesquisa,,3009 L,,,,Pessoa Colectiva,2008-07-22,L,,,,"AG, AU, CO, CU, NI, PB, PT, U, ZN",,,,,,,,,,,,MZ
"Kush Exploration, Limitada","Kush Exploration, Limitada",3010,1261310,"Kush Exploration, Lda",,Licença de Prospecção e Pesquisa,Extinto,Cancelado,Hectares,6,"TETE, MARAVIA, MALOWERA; ZUMBU, MUZE",,Parte 1,Todas Licenças Extinto,,17320,Moçambique,Maputo Cidade,3010L,,,,"AU, CO, CU, NI, PB, U, ZN",,,,Pesquisa,,3010 L,,,,Pessoa Colectiva,2008-07-22,L,,,,"AU, CO, CU, NI, PB, U, ZN",,,,,,,,,,,,MZ
"Kush Exploration, Limitada","Kush Exploration, Limitada",3011,1261311,"Kush Exploration, Lda",,Licença de Prospecção e Pesquisa,Extinto,Cancelado,Hectares,6,"TETE, CHIFUNDE, MUALADZE, NSADZU",,Parte 1,Todas Licenças Extinto,,500,Moçambique,Maputo Cidade,3011L,,,,"AG, AU, CO, CU, NI, PB, PT, U, ZN",,,,Pesquisa,,3011 L,,,,Pessoa Colectiva,2008-07-22,L,,,,"AG, AU, CO, CU, NI, PB, PT, U, ZN",,,,,,,,,,,,MZ
"Kush Exploration, Limitada","Kush Exploration, Limitada",3012,1261312,"Kush Exploration, Lda",,Licença de Prospecção e Pesquisa,Extinto,Cancelado,Hectares,6,"TETE, CHIFUNDE, MUALADZE, NSADZU",,Parte 1,Todas Licenças Extinto,,22060,Moçambique,Maputo Cidade,3012L,,,,"AG, AU, CO, CU, NI, PB, U, ZN",,,,Pesquisa,,3012 L,,,,Pessoa Colectiva,2008-07-22,L,,,,"AG, AU, CO, CU, NI, PB, U, ZN",,,,,,,,,,,,MZ
"Kush Exploration, Limitada","Kush Exploration, Limitada",3013,1261313,"Kush Exploration, Lda",,Licença de Prospecção e Pesquisa,Extinto,Cancelado,Hectares,6,"TETE, MARAVIA, MALOWERA; ZUMBU, MUZE",,Parte 1,Todas Licenças Extinto,,24700,Moçambique,Maputo Cidade,3013L,,,,"AG, CO, CU, NI, PB, PT, U, ZN",,,,Pesquisa,,3013 L,,,,Pessoa Colectiva,2008-07-22,L,,,,"AG, CO, CU, NI, PB, PT, U, ZN",,,,,,,,,,,,MZ
"Shuang Long , Limitada","Shuang Long , Limitada",5310,1259279,"Shuang Long, Lda ",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectares,3,"ZAMBEZIA, PEBANE, MUALAMA, PEBANE",,Parte 1,Licença de Prospecção e Pesquisa,,9580.74,Moçambique,Maputo Cidade,,,,,"HSA, ILM, RUT, ZR",,2013-02-12,,Pesquisa,,5310 L,0,,,Pessoa Colectiva,2012-05-07,L,2018-02-12,,,"HSA, ILM, RUT, ZR",,,,,,,,,,,,MZ
"HBDK Emoz Company, Limitada","HBDK Emoz Company, Limitada",4053,1261861,"HBDK EMOZ COMPANY, LDA",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectares,3,"MANICA, GURO, GURO, MUNGARI; TETE, LUENHA, LUENHA",,Parte 1,Licença de Prospecção e Pesquisa,,12420,Moçambique,Maputo Cidade,4053L,,,,AU,,2012-02-22,,Pesquisa,,4053 L,0,,,Pessoa Colectiva,2010-11-16,L,2017-02-22,,,AU,,,,,,,,,,,,MZ
"Hongti Mineral, Limitada","Hongti Mineral, Limitada",6654,1263024,"Hongti Mineral Lda (0,00%)",,Licença de Prospecção e Pesquisa,Pedido,Aprovação Pendente,Hectare,3,"ZAMBEZIA, INHASSUNGE, GONHANE, INHASSUNGE; MOPEIA, CAMPO",,Parte 1,Licença de Prospecção e Pesquisa,,6718.77,Moçambique,Maputo Cidade,,,,,HSA,,,,Pesquisa,,6654 L,,,,Pessoa Colectiva,2013-10-03,L,,,,HSA,,,,,,,,,,,,MZ
"Real Stone Exploration, Limitada","Real Stone Exploration, Limitada",6870,1263331,"REAL STONE EXPLORATION, LIMITADA ",,Licença de Prospecção e Pesquisa,Pedido,Aprovação Pendente,Hectare,3,"ZAMBEZIA, LUGELA, MUNHAMADE; MOCUBA, MOCUBA, NAMANJAVIRA",,Parte 1,Licença de Prospecção e Pesquisa,,10048.47,Moçambique,Maputo Cidade,,,,,"Minerais Associados, Ouro, Pedras Preciosas, Tantalíte e Mineraís Associados, Terras Raras",,,,Pesquisa,,6870 L,,,,Pessoa Colectiva,2013-12-31,L,,,,"AU, GEM, MI, REE, TAM",,,,,,,,,,,,MZ
"Labenmon Internation Mining, Limitada","Labenmon Internation Mining, Limitada",6462,1263975,"LABENMON INTERNATIONAL MINING, LDA ",,Licença de Prospecção e Pesquisa,Pedido,Atribuição Pendente,Hectare,3,"MANICA, MANICA, MACHIPANDA, MAVONDE, MESSICA, VANDUZI",,Parte 1,Licença de Prospecção e Pesquisa,,5562.71,Moçambique,Manica,,,,,"AU, MI",,2014-06-10,,Pesquisa,,6462 L,0,,Havendo no local nove detetores de Duat deve se fazer um levantamento sobre a ocupacao da area para posterior decisao. 17/07/2014,Pessoa Colectiva,2013-07-23,L,2019-06-10,,,"AU, MI",,,,,,,,,,,,MZ
"Lotterskrantz, Limitada","Lotterskrantz, Limitada",7156,1264440,"Lotterskzantz, Limitada ",,Licença de Prospecção e Pesquisa,Pedido,Pedido,Hectare,3,"GAZA, CHICUALACUALA, MAPAI, PAFURI",,Parte 1,Licença de Prospecção e Pesquisa,,6691.89,Moçambique,Maputo Cidade,,,,,"DIA, FE, MI",,,,Pesquisa,,7156 L,,,,Pessoa Colectiva,2014-12-02,L,,,,"DIA, FE, MI",,,,,,,,,,,,MZ
"Astro Industrial, Limitada","Astro Industrial, Limitada",3145,1258001,"Astro Industrial, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectare,6,"NIASSA, MECULA, MECULA",,Parte 1,Todas Licenças Extinto,,99240,Moçambique,Maputo,3145R,,,,"Metais Básicos, Minerais Associados",,,,Pesquisa,,3145 R,,,,Pessoa Colectiva,2008-09-15,R,,,,"BME, MI",,,,,,,,,,,,MZ
"Construções Lalgy, Limitada","Construções Lalgy, Limitada",6633,1263322,"Construções Lalgy Lda (0,00%)",,Certificado Mineiro,Pedido,Atribuição Pendente,Hectare,2,"MAPUTO, MOAMBA, SABIE",,Parte 1,Certificado Mineiro,,38.79,Moçambique,Maputo Cidade,,,,,STO,,2014-01-21,,Exploração,,6633 CM,0,,,Pessoa Colectiva,2013-09-27,CM,2016-01-21,,,STO,,,,,,,,,,,,MZ
"DFG Moçambique, Limitada","DFG Moçambique, Limitada",5689,1259291,"DFG Moçambique, Limitada ",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"TETE, MARAVIA, FINGOE",,Parte 1,Licença de Prospecção e Pesquisa,,3469.05,Moçambique,Maputo Cidade,,,,,"Granito, Rochas Ornamentais",,2013-01-21,,Pesquisa,,5689 L,0,,,Pessoa Colectiva,2012-08-08,L,2018-01-21,,,"GR, ORN",,,,,,,,,,,,MZ
"Future Metal Mining Development.Co, Limitada","Future Metal Mining Development.Co, Limitada",4077,1261876,"Future Metal Mining Development CO., Lda",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectares,3,"MANICA, GURO, MUNGARI; TETE, LUENHA, LUENHA",,Parte 1,Licença de Prospecção e Pesquisa,,4080,Moçambique,Maputo Cidade,4077L,,,,AU,,2011-11-09,,Pesquisa,,4077 L,0,,,Pessoa Colectiva,2010-11-29,L,2016-11-09,,,AU,,,,,,,,,,,,MZ
"Purelife Natural Resources, Sociedade Unipessoal Limitada","Purelife Natural Resources, Sociedade Unipessoal Limitada",5405,1262563,"Pure Life Natural Resources, Sociedade Unipessoal,Lda. ",,Licença de Prospecção e Pesquisa,Pedido,Oposição Pendente,Hectare,3,"NIASSA, LAGO, COBUE",,Parte 1,Licença de Prospecção e Pesquisa,,8191.99,Moçambique,Maputo Cidade,,,,,AUM,,,,Pesquisa,,5405 L,,,,Pessoa Colectiva,2012-05-15,L,,,,AUM,,,,,,,,,,,,MZ
"Duplo Dragão Industrial, Limitada","Duplo Dragão Industrial, Limitada",5011,1264559,"Duplo Dragao Industrial, Lda",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"NAMPULA, ERATI, ALUA",,Parte 1,Licença de Prospecção e Pesquisa,,6972.15,Moçambique,Maputo Cidade,5011L,,,,TAM,,2014-11-14,,Pesquisa,,5011 L,0,,,Pessoa Colectiva,2011-12-08,L,2019-11-14,,,TAM,,,,,,,,,,,,MZ
"Grafite Kropfmuehl de Moçambique - Sociedade Unipessoal, Limitada","Grafite Kropfmuehl de Moçambique - Sociedade Unipessoal, Limitada",3455,1265097,"Grafite Kropfmuehl de Moçambique, Lda  , Grafite Kropfmuehl de Moçambique, Lda",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"CABO_DELGADO, ANCUABE, METORO; CHIURE, CHIURE VELHO, MAZEZE; MECUFI, MECUFI, MURREBUE",,Parte 1,Licença de Prospecção e Pesquisa,,22300,Moçambique,Maputo Cidade,3455L,,,,GRP,,2009-12-15,,Pesquisa,,3455 L,0,,,Pessoa Colectiva,2009-08-11,L,2014-12-15,,,GRP,,,,,,,,,,,,MZ
"Dombeya Mineração, Limitada","Dombeya Mineração, Limitada",4117,1261895,"Dombeya Mineracao, Lda",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectares,3,"CABO_DELGADO, CHIURE, MAZEZE; MECUFI, MECUFI; NAMPULA, ERATI, NAMAPA; MEMBA, LURIO",,Parte 1,Licença de Prospecção e Pesquisa,,19465,Moçambique,Maputo Cidade,4117L,,,,"BME, GRP",,2012-07-09,,Pesquisa,,4117 L,0,,,Pessoa Colectiva,2010-12-13,L,2017-07-09,,,"BME, GRP",,,,,,,,,,,,MZ
"Purelife Natural Resources, Sociedade Unipessoal Limitada","Purelife Natural Resources, Sociedade Unipessoal Limitada",5399,1263729,"Pure Life Natural Resources, Sociedade Unipessoal,Lda. ",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"SOFALA, GORONGOSA, GORONGOSA",,Parte 1,Licença de Prospecção e Pesquisa,,2023.97,Moçambique,Maputo Cidade,,,,,AU,,2014-04-14,,Pesquisa,,5399 L,0,,,Pessoa Colectiva,2012-05-14,L,2019-04-14,,,AU,,,,,,,,,,,,MZ
"Kungana, Limitada","Kungana, Limitada",6616,1264004,"KUNGANA, LTD (0,00%)",,Licença de Prospecção e Pesquisa,Pedido,Aprovação Pendente,Hectare,3,"NIASSA, LAGO, METANGULA; LAGO NIASSA",,Parte 1,Licença de Prospecção e Pesquisa,,2627.4,Moçambique,Maputo Cidade,,,,,"FE, MI",,,,Pesquisa,,6616 L,,,,Pessoa Colectiva,2013-09-20,L,,,,"FE, MI",,,,,,,,,,,,MZ
